Strain (F12), GBE stress (P12), non-GBE stress (P12), GBE subset stress (P12), Strain (F11), GBE stress (P11), non-GBE stress (P11), GBE subset stress (P11)
2e-05,0.00209222753790969,0.00204840046554603,0.00213487365310707,1.66616961436607e-06,-1.64080446278525e-16,-3.7235568361299e-16,3.77126173171927e-16
4e-05,0.0041844550758199,0.00409680093109036,0.00426974730621102,3.33233922873213e-06,7.10830049335809e-16,5.14996031930615e-17,-1.69257511652143e-15
6e-05,0.00627668261373251,0.00614520139663748,0.00640462095931809,4.9985088430982e-06,1.17156176253352e-15,-3.20137796480657e-16,1.86509878721819e-16
8e-05,0.0083689101516422,0.00819360186218197,0.00853949461242299,6.66467845746427e-06,1.00727802834766e-15,1.03107626603371e-16,5.63080398280347e-16
0.0001,0.0104611376895524,0.0102420023277263,0.0106743682655291,8.33084807183034e-06,-1.44399466342482e-15,1.43976627495213e-15,9.39949073436308e-16
0.00012,0.0125533652274621,0.0122904027932713,0.0128092419186337,9.9970176861964e-06,-5.69748241641133e-16,6.11544235390449e-16,-1.12816657057979e-15
0.00014,0.0146455927653741,0.0143388032588184,0.0149441155717411,1.16631873005625e-05,-7.32378567513958e-16,1.03411203211667e-15,-7.52544727922189e-16
0.00016,0.0167378203032843,0.0163872037243627,0.0170789892248448,1.33293569149285e-05,-8.98153079686992e-16,2.06106832989494e-16,-3.75567632548979e-16
0.00018,0.0188300478411946,0.0184356041899076,0.0192138628779518,1.49955265292946e-05,6.00431163122472e-16,1.08691267791672e-15,1.50411367388914e-15
0.0002,0.0209222753791043,0.0204840046554521,0.0213487365310567,1.66616961436607e-05,4.39101879856629e-16,2.60859042700012e-16,-5.67146156427167e-16
0.00022,0.0230145029170163,0.0225324051209986,0.0234836101841628,1.83278657580267e-05,2.73218947466347e-16,-5.69097720337641e-16,-1.87783816274489e-16
0.00024,0.0251067304549265,0.0245808055865436,0.0256184838372677,1.99940353723928e-05,1.14871220174839e-15,-1.43873628288826e-16,1.907111621402e-16
0.00026,0.0271989579928362,0.0266292060520879,0.0277533574903748,2.16602049867589e-05,9.8651555674456e-16,1.19305607060305e-15,5.67254576644416e-16
0.00028,0.0292911855307459,0.0286776065176329,0.0298882311434785,2.3326374601125e-05,-8.40256683676266e-16,2.06822406423335e-15,-5.5944832100252e-16
0.0003,0.031383413068659,0.03072600698318,0.0320231047965858,2.4992544215491e-05,-1.01025958432199e-15,1.24097780662691e-15,3.79037079500932e-16
0.00032,0.0334756406065687,0.0327744074487239,0.0341579784496905,2.66587138298571e-05,-1.32706345912226e-16,4.11996825544492e-16,7.50267903359969e-16
0.00034,0.0355678681444784,0.0348228079142688,0.0362928521027969,2.83248834442232e-05,-2.92734586571086e-16,8.39389321938278e-16,1.1290881424264e-15
0.00036,0.0376600956823886,0.0368712083798138,0.0384277257559015,2.99910530585892e-05,-4.62737487216813e-16,1.06251812903579e-17,-9.39569602675938e-16
0.00038,0.0397523232203006,0.0389196088453602,0.0405625994090086,3.16572226729553e-05,4.18068357710411e-16,-8.19440001964544e-16,-5.59014640133526e-16
0.0004,0.0418445507582102,0.0409680093109052,0.0426974730621125,3.33233922873214e-05,8.78203759713259e-16,6.59194920871187e-17,7.57206797263876e-16
0.00042,0.0439367782961211,0.0430164097764502,0.0448323467152196,3.49895619016874e-05,7.09935582543508e-16,-7.66314095512755e-16,-7.54821552484408e-16
0.00044,0.0460290058340308,0.045064810241994,0.0469672203683242,3.66557315160535e-05,5.46437894932694e-16,1.82124280934115e-15,-3.76001313417973e-16
0.00046,0.0481212333719428,0.0471132107075411,0.0491020940214306,3.83219011304195e-05,-8.66928057119409e-16,9.92478668693231e-16,-6.50521303491303e-19
0.00048,0.050213460909853,0.0491616111730861,0.0512369676745352,3.99880707447856e-05,-1.02999206386123e-15,1.6826817716975e-16,3.82072845583892e-16
0.0005,0.0523056884477627,0.0512100116386304,0.0533718413276426,4.16542403591516e-05,-5.72675587506843e-16,1.0471224581865e-15,-7.46798456408015e-16
0.00052,0.0543979159856724,0.0532584121041754,0.0555067149807487,4.33204099735178e-05,3.09431300027363e-16,2.23345647532014e-16,1.89084858881472e-16
0.00054,0.0564901435235855,0.0553068125697203,0.0576415886338533,4.49865795878839e-05,1.44415729375069e-16,6.42281366980413e-16,5.67254576644416e-16
0.00056,0.0585823710614952,0.0573552130352663,0.0597764622869607,4.66527492022499e-05,-1.69135538907739e-17,-1.89518539750466e-16,9.38485400503453e-16
0.00058,0.0606745985994049,0.0594036135008113,0.0619113359400643,4.8318918816616e-05,-1.83880688453542e-16,-1.01264482910146e-15,-1.12843762112291e-15
0.0006,0.0627668261373145,0.0614520139663563,0.0640462095931714,4.99850884309819e-05,6.82180006927879e-16,1.57165946923499e-15,-7.42895328587068e-16
0.00062,0.0648590536752248,0.0635004144319006,0.0661810832462763,5.16512580453482e-05,1.15792792021452e-15,1.20519913493489e-15,5.69856661858381e-16
0.00064,0.0669512812131367,0.0655488148974477,0.0683159568993824,5.33174276597141e-05,-1.30451205393456e-15,1.62023172656234e-15,1.50096948758893e-15
0.00066,0.0690435087510471,0.0675972153629927,0.0704508305524873,5.49835972740802e-05,-4.30645102911242e-16,8.00141203294302e-16,-5.55978874050567e-16
0.00068,0.0711357362889573,0.069645615828537,0.0725857042055944,5.66497668884464e-05,-5.85469173142172e-16,-2.94902990916057e-17,-1.88217497143484e-16
0.0007,0.073227963826867,0.0716940162940815,0.074720577858698,5.83159365028123e-05,-7.5764047813287e-16,3.95950633391706e-16,1.9298798670242e-16
0.00072,0.0753201913647789,0.073742416759628,0.0768554515118054,5.99821061171784e-05,1.13624387676481e-16,-4.34114549863196e-16,5.66820895775422e-16
0.00074,0.0774124189026892,0.0757908172251729,0.07899032516491,6.16482757315444e-05,5.76795555762288e-16,4.46257614195034e-16,-5.61183044478497e-16
0.00076,0.0795046464405988,0.0778392176907179,0.0811251988180164,6.33144453459106e-05,4.21537804662364e-16,-3.87277016011822e-16,3.83373888190874e-16
0.00078,0.0815968739785092,0.0798876181562622,0.0832600724711211,6.49806149602766e-05,2.54570670099596e-16,9.47592698752331e-16,7.55472073787899e-16
0.0008,0.0836891015164216,0.0819360186218089,0.0853949461242281,6.66467845746427e-05,1.13190706807487e-15,1.3838756529605e-15,-1.32185928869433e-15
0.00082,0.0857813290543314,0.0839844190873538,0.0875298197773321,6.83129541890088e-05,-1.32662977825326e-15,5.47305256670683e-16,-9.37618038765464e-16
0.00084,0.087873556592241,0.0860328195528981,0.0896646934304391,6.99791238033748e-05,-8.68229099726392e-16,1.42681005899092e-15,3.81639164714898e-16
